W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
300,398.7697181,21276.40286,70.85883506,27.91858137,3.776331094,14.17176701,21.25765052,0.564645137,0.0277446,0.018254842,0.009489758,20.3515327,3682056.804,4420236.259,3094165.382,1395864.082,0.3,0.2,0.3,0.3,1374982.089,16856.67806,3174.090094,2185.311504,1105.352215,839.6929361,1471.099864,179.0504605,804.6962443,3190.280349,699.7248005,874.6560006,294.2839654,3720,25.04368493,1832.460062,687.4910447,607.750381,0.286854292,0.39018096,929.9373307
325,398.7697181,20862.21861,64.14563027,26.56316873,3.61437253,12.82912605,19.24368908,0.611698899,0.030318686,0.019181401,0.011137286,20.17563988,4142388.493,4972855.333,2983713.2,2093833.825,0.1,0.3,0.3,0.4,1344026.048,16434.26114,2954.713947,2185.311504,1000.630542,823.4846674,1551.251654,170.73123,730.3926934,3118.455085,707.9574696,884.946837,296.6062149,3720,24.56573902,1829.75497,672.0130238,604.4880427,0.286152802,0.387126076,937.2756392
325,398.7697181,20661.41834,63.53212956,26.435836,3.599171326,12.70642591,19.05963887,0.611698899,0.030379306,0.019242021,0.011137286,20.13538071,4102769.921,4925294.022,2955176.413,2073808.009,0.3,0.3,0.1,0.4,1291304.609,16230.11287,2912.579667,2185.311504,991.0603254,815.6085639,1537.309934,169.9487434,723.6023031,2996.129004,711.3054623,889.1318279,303.1512757,3720,24.34382543,1830.575859,645.6523044,600.7507488,0.28580997,0.378767992,957.9580314
300,398.7697181,20784.31232,69.23159218,27.59615035,3.737780515,13.84631844,20.76947765,0.564645137,0.027879532,0.018389774,0.009489758,20.25303469,3597499.942,4318727.421,2591236.453,1818411.546,0.3,0.3,0.3,0.4,1285814.783,16363.22149,3066.359926,2185.311504,1079.968273,820.4093932,1358.83585,177.0730921,786.6854836,2983.391324,701.0908331,876.3635414,303.3503508,3720,24.33724416,1831.730668,642.9073917,599.4252324,0.285789902,0.378519424,958.5871086
300,398.7697181,21019.96419,70.01111137,27.75107611,3.756302065,14.00222227,21.00333341,0.564645137,0.027814174,0.018324416,0.009489758,20.30062593,3638006.309,4367354.512,3057148.159,1379164.583,0.1,0.3,0.3,0.3,1308487.086,16594.48927,3117.45322,2185.311504,1092.128271,829.647036,1454.508496,178.0233294,795.3134111,3035.996374,705.4749149,881.8436437,303.9062681,3720,24.7596895,1834.011486,654.2435429,603.0060571,0.286478957,0.377827021,960.3438073
350,398.7697181,20970.34218,59.87187122,25.66301977,3.50696711,11.97437424,17.96156137,0.65875266,0.03291817,0.020001555,0.012916615,20.01182508,4733608.797,5682603.598,3977822.518,1794506.399,0.1,0.2,0.3,0.3,1336164.601,16515.33489,2861.057264,2185.311504,933.9626515,827.7439155,1864.416349,165.1960353,683.0895823,3100.214688,735.0072827,918.7591034,308.0821154,3720,25.03792363,1835.22313,668.0823004,608.9847134,0.287324199,0.372705828,973.5394846
300,398.7697181,20574.69442,68.53779361,27.45752592,3.721210561,13.70755872,20.56133808,0.564645137,0.027938855,0.018449096,0.009489758,20.21003173,3561447.899,4275447.658,2565268.595,1800188.488,0.1,0.4,0.3,0.4,1230906.987,16148.78349,3020.495836,2185.311504,1069.145462,812.1875806,1346.050842,176.2226402,779.006335,2855.992383,705.9109335,882.3886669,311.338697,3720,24.10547615,1833.042192,615.4534936,595.5247797,0.285485566,0.368807351,983.8302827
325,398.7697181,20414.08478,62.74128143,26.27078407,3.579470918,12.54825629,18.82238443,0.611698899,0.030459066,0.01932178,0.011137286,20.08265478,4051698.629,4863983.948,2918390.369,2047993.241,0.1,0.4,0.1,0.4,1228045.393,15978.12021,2858.534177,2185.311504,978.7236036,805.4556835,1519.32726,168.9342174,714.8489838,2849.352814,715.9645717,894.9557146,311.9240998,3720,24.06863688,1831.864253,614.0226965,596.1137396,0.285416329,0.368115192,985.6801554
350,398.7697181,20419.06684,58.2757456,25.31863349,3.465911256,11.65514912,17.48272368,0.65875266,0.033101083,0.020184467,0.012916615,19.90124208,4607415.409,5531110.935,3318666.561,2328888.815,0.3,0.2,0.3,0.4,1242247.791,15966.12502,2748.437593,2185.311504,909.0641192,805.6766741,1714.377062,163.0760913,665.4232359,2882.305703,732.9418274,916.1772843,315.6361199,3720,24.21365714,1833.370747,621.1238956,599.6570828,0.286009953,0.363785995,997.410139
280,398.7697181,20660.04348,73.73458142,28.47947323,3.843424543,14.74691628,22.12037443,0.527002128,0.026064687,0.017798053,0.008266634,20.21900884,3180330.45,3817923.709,2290754.225,1607546.825,0.3,0.4,0.3,0.4,1202936.507,16234.57028,3152.566052,2185.311504,1150.212007,815.5193179,1210.439988,182.4878478,836.525776,2791.094321,705.4731914,881.8414892,318.4750384,3720,24.08489325,1836.602373,601.4682537,594.1322962,0.285740385,0.36054317,1006.381121
