W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,costi_tot,CO2
350,398.7697181,16728.38776,47.753254,21.85251793,3.484538805,5,6,0.65875266,0.033449957,0.019332194,0.014117763,19.69367759,3775482.853,4532392.381,2624016.642,1908375.739,0.3,0.3,0.1,0.4,1232524.241,13293.66452,1764.846271,2040.943527,343.1858386,660.198467,1386.623328,141.6657362,429.636766,3081.310602,644.7232395,805.9040493,413.5504894,2790,25.59741594,1711.495486,616.2621204,509.4701487,2837.227756,1306.819547
350,398.7697181,17086.41516,48.76496115,22.08278994,3.515536186,5,6,0.65875266,0.033251126,0.019133363,0.014117763,19.8114393,3855470.764,4628416.283,3654012.855,974403.428,0.1,0.2,0.3,0.2,1252683.531,13640.16092,1819.906842,2040.943527,343.1858386,674.185735,1604.539896,143.0925328,436.1471416,3131.708828,656.2542383,820.3177979,421.117369,2790,26.05664641,1717.242988,626.3417656,513.3657513,2856.950505,1330.730886
350,398.7697181,16890.97798,48.21291392,21.95743927,3.498660182,5,6,0.65875266,0.033358624,0.019240861,0.014117763,19.74759684,3811824.631,4576019.966,2649274.717,1926745.249,0.1,0.3,0.3,0.4,1279771,13460.23077,1790.264608,2040.943527,343.1858386,666.5534536,1399.145448,142.3159246,432.5946958,3199.427501,640.7472174,800.9340217,408.0821349,2790,25.82130735,1711.414778,639.8855001,512.4144766,2863.714755,1289.539546
300,398.7697181,16949.26335,56.43772108,23.75662457,3.741362866,5,6,0.564645137,0.027512943,0.017140709,0.010372234,20.52289159,2932688.559,3520634.525,2408855.201,1111779.324,0.1,0.3,0.3,0.3,1319654.092,13570.79822,1957.886113,2040.943527,343.1858386,668.7969804,1166.569442,153.4445999,485.5216558,3299.13523,588.465131,735.5814138,371.0490146,2790,25.78555346,1700.778171,659.8270459,507.5299451,2868.135162,1172.514886
300,398.7697181,16988.462,56.56683486,23.78378331,3.745033695,5,6,0.564645137,0.027494325,0.017122092,0.010372234,20.53678824,2939397.734,3528688.756,2042925.069,1485763.687,0.1,0.4,0.1,0.4,1363560.949,13620.3801,1965.075491,2040.943527,343.1858386,670.3270244,1096.513998,153.6122962,486.3525081,3408.902374,578.0818991,722.6023739,360.678421,2790,25.83946847,1698.020266,681.7804747,509.2078207,2889.008562,1139.74381
300,398.7697181,17068.82228,56.83146566,23.83935101,3.752544943,5,6,0.564645137,0.027456421,0.017084188,0.010372234,20.56513954,2953148.815,3545196.657,2052482.275,1492714.382,0.3,0.3,0.3,0.4,1387356.009,13703.92687,1978.837141,2040.943527,343.1858386,673.4629934,1101.320221,153.9553823,488.0554177,3468.390022,574.8954055,718.6192569,356.8753556,2790,25.95223915,1697.645219,693.6780044,510.6632655,2901.986488,1127.726124
350,398.7697181,17599.69272,50.25387945,22.41737707,3.56060786,5,6,0.65875266,0.03297253,0.018854767,0.014117763,19.97883261,3973188.093,4769733.605,3263501.94,1506231.665,0.3,0.2,0.1,0.3,1442974.342,14182.51542,1904.326858,2040.943527,343.1858386,694.7706596,1552.755375,145.1645154,445.7283899,3607.435856,627.1772984,783.9716231,387.7516232,2790,26.73439314,1712.081692,721.4871712,523.8977327,2957.466596,1225.295129
350,398.7697181,17550.17334,50.07258238,22.3769038,3.5551538,5,6,0.65875266,0.033005601,0.018887838,0.014117763,19.9588142,3958854.326,4752526.202,2751462.538,2001063.664,0.1,0.3,0.1,0.4,1473756.964,14142.66375,1894.667034,2040.943527,343.1858386,692.26415,1449.740275,144.9139512,444.561736,3684.392409,617.5095916,771.8869895,379.0483579,2790,26.68008424,1708.975571,736.8784818,524.3114414,2970.165494,1197.792811
300,398.7697181,17666.17084,58.84740517,24.25848412,3.80922614,5,6,0.564645137,0.027178418,0.016806184,0.010372234,20.77549714,3057903.625,3670952.731,2511704.5,1159248.231,0.3,0.2,0.3,0.3,1527651.581,14313.73643,2084.023187,2040.943527,343.1858386,697.3526077,1213.384063,156.5420659,501.0280684,3819.128954,562.434414,703.0430175,339.2998817,2790,26.7257243,1698.064736,763.8257907,520.3089933,2982.19952,1072.187626
300,398.7697181,17595.3807,58.61321607,24.21016647,3.802689662,5,6,0.564645137,0.027209771,0.016837537,0.010372234,20.75155771,3045734.394,3656343.81,2116830.627,1539513.183,0.3,0.3,0.1,0.4,1540541.105,14249.50734,2072.162437,2040.943527,343.1858386,694.5773806,1133.647181,156.243974,499.5210522,3851.352762,555.8733614,694.8417018,333.6169168,2790,26.63579615,1695.668896,770.2705523,520.0589759,2985.998425,1054.229457
350,398.7697181,17672.66938,50.46086969,22.46349699,3.566823498,5,6,0.65875266,0.032935052,0.018817289,0.014117763,20.00156755,3989553.221,4789379.617,2772798.725,2016580.891,0.3,0.2,0.3,0.4,1507495.469,14268.37299,1916.62144,2040.943527,343.1858386,697.6323887,1460.290999,145.450013,447.0603803,3768.738672,614.2963904,767.870488,374.5704478,2790,26.85345244,1708.793466,753.7477345,526.5473825,2989.088583,1183.642615
350,398.7697181,17814.43261,50.8628403,22.55279147,3.578859771,5,6,0.65875266,0.032863107,0.018745344,0.014117763,20.04535555,4021333.948,4827531.75,3303048.04,1524483.711,0.1,0.2,0.3,0.3,1504447.823,14402.3564,1938.855009,2040.943527,343.1858386,703.1898061,1570.485701,146.0027022,449.6470771,3761.119556,622.0762146,777.5952682,380.6694052,2790,27.0258976,1711.992013,752.2239113,527.7378076,2991.953732,1202.91532
300,398.7697181,17731.9426,59.06492678,24.30327689,3.815286287,5,6,0.564645137,0.027149509,0.016777275,0.010372234,20.79761876,3069206.759,3684521.92,2133144.269,1551377.651,0.1,0.3,0.3,0.4,1580184.716,14390.00115,2095.992711,2040.943527,343.1858386,699.9303192,1141.833716,156.818388,502.4278286,3950.46179,551.9414473,689.9268091,328.5797664,2790,26.81954539,1695.451343,790.092358,522.4853089,3008.02901,1038.312062
300,398.7697181,18293.03331,60.91849715,24.68167279,3.866500022,5,6,0.564645137,0.0269112,0.016538967,0.010372234,20.98178938,3165524.338,3800149.265,2200086.417,1600062.848,0.1,0.3,0.1,0.4,1744692.692,14972.22579,2194.983429,2040.943527,343.1858386,721.8958254,1175.389573,159.1517841,514.3556274,4361.73173,530.8075206,663.5094008,303.089405,2790,27.54018216,1693.083079,872.346346,532.4269906,3097.856416,957.7625197
350,398.7697181,18401.1592,52.52429033,22.91817845,3.628137499,5,6,0.65875266,0.032576971,0.018459208,0.014117763,20.22142173,4152692.035,4985224.532,2886182.624,2099041.908,0.3,0.2,0.1,0.4,1720365.765,15022.06593,2035.089584,2040.943527,343.1858386,726.1600858,1516.285538,148.2632703,460.3385738,4300.914412,589.0932713,736.3665891,342.9205859,2790,27.79313826,1706.15364,860.1828825,539.5902919,3105.926815,1083.629051
300,398.7697181,18387.12368,61.22893287,24.74448077,3.875004016,5,6,0.564645137,0.02687264,0.016500406,0.010372234,21.01189679,3181655.593,3819514.517,2211297.878,1608216.639,0.3,0.2,0.3,0.4,1772278.855,15069.96122,2211.71265,2040.943527,343.1858386,725.5746075,1181.003766,159.5389396,516.3532935,4430.697137,527.1624593,658.9530741,298.7187022,2790,27.66936581,1692.653078,886.1394273,534.1078705,3112.900376,943.9510988
300,398.7697181,18503.87145,61.61397071,24.82216161,3.885523008,5,6,0.564645137,0.02682533,0.016453096,0.010372234,21.04895418,3201663.418,3843533.515,2629786.089,1213747.426,0.1,0.2,0.3,0.3,1771050.129,15181.09109,2231.937473,2040.943527,343.1858386,730.1374541,1267.006088,160.0177131,518.8310272,4427.625323,532.7803573,665.9754467,303.0773681,2790,27.80960761,1695.076303,885.5250647,535.0987533,3115.700121,957.7244831
350,398.7697181,18696.63897,53.35960948,23.09969902,3.652633286,5,6,0.65875266,0.032439578,0.018321815,0.014117763,20.30706647,4218734.301,5064506.964,3465188.976,1599317.989,0.1,0.2,0.1,0.3,1759830.361,15314.44572,2082.988768,2040.943527,343.1858386,737.7087504,1643.069207,149.3857067,465.7138857,4399.575901,592.1932442,740.2415552,342.9670789,2790,28.16022128,1708.960918,879.9151803,543.4417579,3132.317857,1083.775969
350,398.7697181,18599.95417,53.08638462,23.04048277,3.644641113,5,6,0.65875266,0.032484061,0.018366298,0.014117763,20.27925817,4197132.511,5038574.443,2917069.415,2121505.029,0.1,0.2,0.3,0.4,1777605.421,15225.7745,2067.654989,2040.943527,343.1858386,733.9312926,1531.517961,149.0195846,463.9556729,4444.013552,584.1796694,730.2245867,336.1861728,2790,28.05991014,1705.997383,888.8027104,543.1305384,3137.930632,1062.348306
300,398.7697181,19004.47987,63.3075578,25.16099318,3.931421196,5,6,0.564645137,0.026623778,0.016251544,0.010372234,21.2083026,3289667.742,3949180.963,2286367.926,1662813.037,0.3,0.2,0.1,0.4,1950668.344,15709.44444,2324.650638,2040.943527,343.1858386,750.2071244,1218.554223,162.10528,529.7293273,4876.67086,505.0354292,631.2942865,271.6538525,2790,28.45704469,1690.293429,975.334172,544.9789667,3210.606568,858.4261738
300,398.7697181,19165.4759,63.84035912,25.26664978,3.945738658,5,6,0.564645137,0.026562485,0.016190252,0.010372234,21.25724041,3317353.841,3982417.576,2305610.176,1676807.401,0.1,0.2,0.3,0.4,1996994.005,15875.07566,2353.831316,2040.943527,343.1858386,756.5210324,1228.167969,162.7559846,533.1579249,4992.485012,500.4002413,625.5003016,265.7167694,2790,28.66930551,1690.009834,998.4970024,547.8012695,3236.308106,839.6649913
350,398.7697181,19583.46482,55.90759586,23.64478713,3.726248781,5,6,0.65875266,0.032044838,0.017927075,0.014117763,20.55721622,4420184.006,5306343.344,4189218.43,1117124.915,0.1,0.1,0.3,0.2,1963962.697,16215.40828,2232.603204,2040.943527,343.1858386,772.9358501,1826.087862,152.7539515,482.110279,4909.906743,578.0565439,722.5706799,320.3093866,2790,29.30131937,1710.43161,981.9813486,557.6676234,3250.080582,1012.177662
300,398.7697181,19371.24089,64.52096261,25.40097687,3.963944718,5,6,0.564645137,0.026485598,0.016113364,0.010372234,21.31895028,3352720.224,4024874.219,2753861.308,1271012.911,0.3,0.1,0.3,0.3,2020286.349,16079.43856,2390.84885,2040.943527,343.1858386,764.5864576,1323.212465,163.5830885,537.5376353,5050.715873,501.8023312,627.252914,265.1968439,2790,28.92320734,1691.78068,1010.143175,550.3171081,3252.240963,838.0220268
350,398.7697181,19424.80664,55.45789666,23.54950035,3.713374076,5,6,0.65875266,0.03211198,0.017994217,0.014117763,20.51423388,4384629.745,5263661.159,3047382.776,2216278.383,0.1,0.2,0.1,0.4,2015292.218,16077.73229,2207.231519,2040.943527,343.1858386,766.7185449,1595.689298,152.1653977,479.2164468,5038.230544,557.0743536,696.3429421,301.6147103,2790,29.11290818,1703.295399,1007.646109,557.7655825,3268.70709,953.1024844
350,398.7697181,19563.29732,55.85042628,23.63269479,3.724614782,5,6,0.65875266,0.032053316,0.017935553,0.014117763,20.55177878,4415664.046,5300917.223,3068952.076,2231965.146,0.3,0.1,0.3,0.4,2055453.007,16221.07443,2230.638376,2040.943527,343.1858386,772.1454534,1606.296369,152.679267,481.7423905,5138.632518,552.2228898,690.2786122,295.5400849,2790,29.30247988,1702.752532,1027.726504,560.2409803,3290.720016,933.9066684
300,398.7697181,19829.45541,66.03501394,25.69727883,4.004117526,5,6,0.564645137,0.026319989,0.015947755,0.010372234,21.45309208,3431395.283,4119322.068,2384870.671,1734451.397,0.1,0.2,0.1,0.4,2189719.095,16563.56047,2475.586968,2040.943527,343.1858386,782.5285857,1267.720534,165.4068557,547.2806156,5474.297738,475.8949458,594.8686822,236.0425747,2790,29.5072506,1687.240624,1094.859548,559.4040179,3341.504189,745.894536
