W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,398.7697181,21676.0112,72.17825716,26.86601146,4.085864318,14.71128839,19.1234473,0.564645137,19.86450892,3750618.292,4502542.967,2606735.402,1895807.565,0.1,0.3,0.3,0.4,2096702.645,18203.05245,2809.714872,2420.777115,1053.157515,855.3286797,1378.052021,172.5916012,797.6842167,270.3410525,83.87241797,189.0481084,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5241.756613,682.9587566,853.6984457,401.5295738,2790,32.08005997
350,398.7697181,21904.30495,62.5126197,25.00252381,3.831761439,11.72742058,15.36214439,0.65875266,19.65913706,4942392.487,5933244.282,4059588.193,1873656.089,0.1,0.2,0.1,0.3,2182007.34,18414.38114,2626.624009,2420.777115,842.9770593,864.2536423,1907.753123,161.1290933,673.058901,270.3410525,72.64077541,189.0797829,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5455.018349,699.923811,874.9047637,401.7977414,2790,32.39904873
300,398.7697181,21559.0186,71.79182966,26.7939974,4.07603622,14.59413748,18.97639388,0.564645137,19.84813115,3730538.255,4478437.281,3064193.929,1414243.352,0.3,0.2,0.3,0.3,2027783.432,18074.47145,2786.7708,2420.777115,1045.027789,850.7493394,1463.225565,172.1493009,792.7828972,270.3410525,83.42338234,189.0373931,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5069.458579,694.5471565,868.1839457,413.9342974,2790,31.92281221
400,398.7697181,21797.44132,54.4471318,23.33390919,3.604675986,9.46065078,12.49207178,0.752860183,19.07108777,6215193.674,7461216.895,4319651.887,3141565.008,0.1,0.2,0.1,0.4,2191584.885,18264.5143,2427.473391,2420.777115,683.5353963,860.2812045,2215.391855,150.8333776,573.8007472,270.3410525,63.26853509,189.1211748,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5478.962212,742.9270258,928.6587822,427.5375455,2790,32.38491823
300,398.7697181,20505.41681,68.28241765,26.13090462,3.985570867,13.5089071,17.61128459,0.564645137,19.69937949,3548177.729,4259517.082,2466036.205,1793480.877,0.3,0.3,0.3,0.4,1815206.158,17017.09733,2587.36799,2420.777115,968.651678,809.1612659,1308.147279,168.0741998,747.5149112,270.3410525,79.3453832,188.9728303,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4538.015394,698.3194761,872.8993451,428.7820452,2790,30.59279676
350,398.7697181,20289.06553,57.91021471,24.06454128,3.704050885,10.42919903,13.72097716,0.65875266,19.4238435,4578515.69,5496417.395,3182136.386,2314281.008,0.3,0.2,0.3,0.4,1832153.559,16788.86365,2344.556942,2420.777115,751.6353569,800.6230283,1661.891572,155.3453925,616.3124704,270.3410525,67.29269899,188.9758938,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4580.383899,710.201878,887.7523475,429.8668491,2790,30.37010782
350,398.7697181,20120.64512,57.43357379,23.96530279,3.690547636,10.29839079,13.55538922,0.65875266,19.39709977,4540831.354,5451178.097,3155945.214,2295232.883,0.1,0.3,0.1,0.4,1789221.132,16617.30703,2315.830429,2420.777115,742.5267957,794.0332329,1649.036273,154.7329035,610.5398962,270.3410525,66.73883376,188.9694402,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4473.052829,713.3380827,891.6726033,434.7709025,2790,30.14129012
350,398.7697181,20505.65151,58.52391757,24.19171709,3.721358,10.60219786,13.940084,0.65875266,19.45699753,4627036.459,5554665.617,3800560.685,1754104.932,0.1,0.2,0.3,0.3,1835736.84,16994.52596,2380.873755,2420.777115,763.7129858,809.1077752,1792.665338,156.1301451,623.8488985,270.3410525,68.00583262,188.9927237,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4589.342101,721.1255568,901.406946,438.0067011,2790,30.63344598
350,398.7697181,20180.83125,57.60455979,24.00094994,3.695397899,10.34876303,13.61933643,0.65875266,19.40609703,4554349.904,5467406.848,3740857.317,1726549.531,0.3,0.2,0.1,0.3,1754942.575,16666.75867,2325.461858,2420.777115,746.0633415,796.3971984,1766.08424,154.9529266,612.6906019,270.3410525,66.93752254,188.9681413,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4387.356438,724.0725766,905.0907208,444.4684034,2790,30.20531571
300,398.7697181,20301.60438,67.60881064,26.0016943,3.96794932,13.3082789,17.35885565,0.564645137,19.66791557,3513174.906,4217496.886,2885655.764,1331841.122,0.1,0.3,0.3,0.3,1726412.92,16799.21312,2548.842441,2420.777115,954.701601,801.1787359,1382.769897,167.2795989,739.0368541,270.3410525,78.56263988,188.9626472,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4316.0323,712.3912687,890.4890859,444.493188,2790,30.32089951
