W_S,AR,lambda,t_c,W_S_max,WTO,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,V_batt,S,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,9,0.6,0.2,447.0636286,12231.3423,0.56443313,16.87018804,2116063.832,2540292.716,1470695.783,1069596.933,0.1,0.1,0.3,0.4,1862810.628,2.66115804,40.72229899,9154.450375,859.3110435,2420.777115,571.7174861,482.5644417,806.0704014,124.8329277,452.26941,270.3410525,47.32003536,188.5182283,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4657.026569,286.8919296,358.614912,112.4500123,2790,20.36898312
350,9,0.5,0.3,447.0636286,11928.55983,0.658505318,14.56660142,2692597.323,3232409.751,1871395.119,1361014.632,0.1,0.1,0.1,0.4,2167922.225,3.09703175,34.05664623,8829.813218,524.5486102,2420.777115,478.1355829,470.8380832,1010.025585,114.6098173,381.580527,270.3410525,39.57442835,188.6541827,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5419.805562,308.746615,385.9332688,112.6345937,2790,20.5481096
350,9,0.6,0.3,447.0636286,11948.45479,0.658505318,14.52592983,2697025.518,3237725.712,1874472.781,1363252.932,0.1,0.1,0.1,0.4,2179026.115,3.11289445,34.11265516,8848.347665,539.2122577,2420.777115,478.9219159,471.612423,1011.58134,114.6998746,382.1744987,270.3410525,39.63951173,188.659443,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5447.565287,310.107125,387.6339063,112.8198305,2790,20.59047646
350,10,0.4,0.3,447.0636286,12001.14372,0.658505318,15.08727226,2708744.993,3251794.71,1882617.99,1369176.72,0.1,0.1,0.1,0.4,2088313.223,2.983304605,34.26088601,8910.567819,585.3055215,2420.777115,481.0029912,473.6617578,1015.698015,120.874622,383.7464788,270.3410525,39.81175862,188.620273,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5220.783058,300.5758975,375.7198718,113.3100703,2790,20.50526217
300,10,0.4,0.2,447.0636286,12331.03295,0.56443313,17.54819401,2132957.64,2560573.397,1482437.23,1078136.167,0.1,0.1,0.3,0.4,1785782.77,2.551118242,41.04740954,9261.661748,941.3444955,2420.777115,576.2818498,486.4170851,812.0903128,131.7807557,455.7171896,270.3410525,47.6978196,188.4858395,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4464.456924,279.3712006,349.2140008,113.3477683,2790,20.3575925
350,10,0.5,0.3,447.0636286,12027.36038,0.658505318,15.06464967,2714571.98,3258789.892,1886667.832,1372122.06,0.1,0.1,0.1,0.4,2096796.835,2.99542405,34.3345872,8935.644983,605.2869165,2420.777115,482.0377132,474.6806983,1017.744461,120.9988431,384.5280759,270.3410525,39.89740071,188.6244732,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5241.992087,301.7153939,377.1442423,113.5538201,2790,20.55100745
300,10,0.5,0.2,447.0636286,12376.70619,0.56443313,17.53044704,2140684.316,2569849.118,1487807.384,1082041.734,0.1,0.1,0.3,0.4,1794748.081,2.56392583,41.19610449,9305.945175,977.0435425,2420.777115,578.3694409,488.1791587,814.8426589,132.008727,457.2940914,270.3410525,47.87060578,188.4905488,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4486.870202,280.7610198,350.9512747,113.7583725,2790,20.4276896
350,10,0.6,0.3,447.0636286,12051.016,0.658505318,15.02226235,2719827.889,3265099.507,1890320.767,1374778.74,0.1,0.1,0.1,0.4,2108280.099,3.011828713,34.40106526,8957.8652,622.9094155,2420.777115,482.9710266,475.599777,1019.590124,121.1107705,385.233072,270.3410525,39.9746494,188.6299637,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5270.700248,303.1508017,378.9385021,113.7736812,2790,20.59862285
300,10,0.6,0.2,447.0636286,12417.60126,0.56443313,17.48865749,2147596.766,2578147.378,1492611.64,1085535.738,0.1,0.1,0.3,0.4,1806203.383,2.580290547,41.32913018,9345.230878,1008.648825,2420.777115,580.2370445,489.7555475,817.3044566,132.2123114,458.7048216,270.3410525,48.025184,188.496286,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4515.508457,282.3703821,352.9629776,114.1257079,2790,20.49628614
350,11,0.4,0.3,447.0636286,12105.19056,0.658505318,15.52513783,2731857.075,3279540.306,1898681.23,1380859.076,0.1,0.1,0.1,0.4,2032546.195,2.903637422,34.55321342,9019.951747,668.862329,2420.777115,485.1070986,477.70327,1023.813506,127.0236483,386.8465949,270.3410525,40.15144826,188.5974513,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5081.365488,295.2388146,369.0485182,114.2768765,2790,20.53905653
