W_S,W_S_max,WTO,AR,t_c,lambda,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,447.063628623853,25144.3279188318,10,0.1,0.4,80.9922973531824,28.4591456922344,4.45712980330204,17.7113488136727,23.1815721194877,0.564645137304285,20.5801054894666,4208624.64480957,5052370.52198028,2925056.61798858,2127313.9039917,0.1,0.3,0.1,0.4,2396515.2258437,21644.8943883105,4795.0076536102,2420.77711531044,1337.11737040749,959.779288283756,1535.45557423948,182.363324216695,938.742991067541,270.34105252,94.1144893616569,189.17923163531,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,5991.28806460924,709.433530521379,886.791913151724,402.9631123367,2790,35.9862020967257
300,447.063628623853,24998.3392960474,10,0.1,0.4,83.0269748886996,28.8144017617405,4.50741632664304,18.3989445074085,24.0529751047954,0.564645137304285,20.7940833808539,4314353.14369234,5179295.49062705,2998539.49457356,2180755.9960535,0.1,0.3,0.3,0.4,2222285.99844606,21432.6520950494,4969.19060260743,2420.77711531044,1314.89597641352,983.891263302788,1571.65474192931,184.539010480573,945.236154638598,270.34105252,96.4788208293247,189.204127853587,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,5555.71499611516,775.687200997981,969.609001247476,461.881280439575,2790,35.8659988176094
300,447.063628623853,27628.2756242179,10,0.1,0.4,91.8362784996052,30.304501068258,4.71846925966379,21.3644752496789,27.7999521306979,0.564645137304285,21.0478146163295,4772113.36894925,5728827.5737686,3316689.6479713,2412137.92579731,0.3,0.1,0.1,0.4,3376490.99945928,24237.5378010554,4279.27822522404,2420.77711531044,1524.99730497122,1088.28634027864,1727.84556643286,193.652107216072,1064.32742619653,270.34105252,106.715388232232,189.361542976518,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,8441.22749864821,600.73782316245,750.922278953062,265.424998848302,2790,39.1950103880976
300,447.063628623853,26095.5243037943,10,0.1,0.4,86.6894247383094,29.4430679003241,4.59643407345429,19.5415381527201,25.4949723836113,0.564645137304285,20.9307724697853,4504666.01542422,5407762.32343844,3130809.7662012,2276952.55723724,0.3,0.1,0.3,0.4,3009946.24242593,22684.4392996088,4015.58595254791,2420.77711531044,1388.96438566684,1027.29324265052,1636.69376386503,188.38625331963,990.803525309776,270.34105252,100.734652663624,189.265516641544,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,7524.86560606483,621.085004185532,776.356255231914,301.496980487649,2790,37.3542125081981
300,447.063628623853,26075.0071760647,10,0.1,0.4,83.4189996880625,28.8823474960161,4.51703547504143,18.4846180555053,24.159576647903,0.564645137304285,20.7649584258671,4334724.03433124,5203750.34133402,3012697.56603549,2191052.77529854,0.3,0.2,0.1,0.4,2656054.84354479,22615.3770146122,5014.66321302162,2420.77711531044,1344.05048759143,988.536961735228,1578.6237383455,184.954994030546,956.418150203142,270.34105252,96.9343606153893,189.211599328268,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6640.13710886198,669.630161452542,837.037701815678,357.952406019322,2790,37.0730286065224
300,447.063628623853,25373.1433798675,10,0.1,0.4,81.6895220941412,28.581378919524,4.47443049838081,17.948029490904,23.4816813013337,0.564645137304285,20.5996125603829,4244854.72252887,5095864.0126397,2950237.0599493,2145626.9526904,0.3,0.2,0.3,0.4,2443938.85032154,21875.980273313,4856.89612498719,2420.77711531044,1355.55234666617,968.041757050947,1547.86547063644,183.112048354361,948.705107499348,270.34105252,94.9246769055353,189.189214530057,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6109.84712580385,707.163106554511,883.953883193138,398.540148836357,2790,36.2703841765125
300,447.063628623853,24629.8724023367,10,0.1,0.4,81.8291655499073,28.6057975854384,4.47788685811477,17.9902718481645,23.5350219083023,0.564645137304285,20.7553666635213,4252111.05317548,5104575.09384812,2955280.31749102,2149294.7763571,0.3,0.3,0.1,0.4,2150350.61776737,21064.0656157584,4862.5917346589,2420.77711531044,1286.94880429901,969.696603586744,1550.3502903203,183.26160489394,929.227500340419,270.34105252,95.0869450836414,189.179187277963,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,5375.87654441844,775.806786578292,969.758483222865,465.758334871647,2790,35.4136560393424
300,447.063628623853,23162.5459544121,10,0.1,0.4,76.8987547537099,27.7306247231666,4.35404850808164,16.3369053532935,21.4368628123575,0.564645137304285,20.5944946246041,3995910.78396438,4797011.74545544,2777217.3263163,2019794.41913913,0.3,0.3,0.3,0.4,1872152.09579317,19595.1206969565,4431.77943160346,2420.77711531044,1168.65950463866,911.268782240921,1462.47543468874,177.897904236148,862.36652345498,270.34105252,89.3577200882835,189.08875564327,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4680.38023948294,777.425257455606,971.781571819507,482.888662615387,2790,33.6276315553726
350,447.063628623853,28520.3998284056,10,0.1,0.4,85.2886911315143,29.2042276274368,4.56261042373498,18.9542133851516,24.7474955685,0.658752660188332,21.0012866381349,6743121.4417426,8094983.72358055,5538673.0740288,2556310.64955175,0.1,0.1,0.1,0.3,3507045.53881311,25014.8130660834,4125.62934198873,2420.77711531044,1323.87138218326,1179.14719407997,2558.69082736883,186.925054484316,962.456210208835,270.34105252,99.1069753110435,189.525832546574,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,8767.61384703278,715.586762322246,894.483452902807,333.358885645299,2790,40.4823134002312
350,447.063628623853,28853.2208398047,10,0.1,0.4,82.200671637889,28.6706595037312,4.48706808074623,17.9939668871371,23.534757025254,0.658752660188332,20.8510492978692,6498975.46900309,7801891.31933143,5338136.16585835,2463755.15347308,0.1,0.1,0.3,0.3,3071188.22537943,25281.9668531849,5685.45667493852,2420.77711531044,1288.53084816612,1136.4531176194,2470.9780369658,183.658836190382,932.088046048257,270.34105252,95.5186417623105,189.4656871665,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,7677.97056344857,781.253986619788,976.567483274735,408.156115463607,2790,40.5356340083744
