W_S,W_S_max,WTO,S,b,c_root,AR_vert,S_vert,AR_orizz,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,447.063628623853,22394.9381074652,74.5863701174084,27.3105053262309,4.14653996496046,1.5,15.4391391590267,4,20.0361341394386,0.564433129961166,19.560974446402,3875751.71592141,4652763.16437144,3183469.5335173,1469293.63085414,0.3,0.1,0.3,0.3,2444377.60195649,19015.2315338571,2497.41795281565,2420.77711531044,1104.71152624446,883.865926145048,1516.83934795625,175.320471743791,828.492786433882,270.34105252,86.6706880325777,189.122428715149,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6110.94400489123,589.706573608121,737.133217010151,306.5681160776,2790,33.2082471285315
300,447.063628623853,20756.1137487551,69.1172057689232,26.2901513439773,4.00729173783871,1.5,13.7350284222857,4,17.8946070681674,0.564433129961166,19.3452948015045,3591556.0502129,4311591.89701429,2950036.56111504,1361555.33589925,0.3,0.2,0.1,0.3,2033646.41557882,17348.7385683125,2231.42214490125,2420.77711531044,984.506062735126,819.053864719313,1411.81122451276,169.05327686926,757.595781440124,270.34105252,80.3154218317919,189.018351476726,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,5084.11603894706,617.375180442579,771.718975553224,350.507364826164,2790,31.1144322338475
300,447.063628623853,19758.9851514937,65.7922084087484,25.6499918925423,3.91999591569937,1.5,12.7346712178528,4,16.634925053253,0.564433129961166,19.1963392008132,3418778.31342472,4104175.64636821,2808120.17909404,1296055.46727417,0.3,0.2,0.3,0.3,1779684.16952483,16332.5586835242,2074.40152238351,2420.77711531044,913.937273190163,779.651239735435,1347.74956370491,165.115862301685,715.239367253733,270.34105252,76.4517157892641,188.955314474329,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4449.21042381208,636.426467969547,795.533084961934,379.341934695567,2790,29.8357638754735
300,447.063628623853,17748.1388173454,59.0864512947332,24.3077048062406,3.73714493267787,1.5,10.8011598651815,4,14.1938793890744,0.564433129961166,18.8468690741935,3070325.24351013,3685864.63806738,2521907.38394084,1163957.25412654,0.3,0.3,0.3,0.3,1259926.79415698,14282.1862114783,1769.18064015599,2420.77711531044,777.296932899772,700.185392688969,1218.02251276857,156.845702106514,631.503448932996,270.34105252,68.6595068114551,188.828688842462,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3149.81698539245,675.952605867159,844.940757333949,438.496646380998,2790,27.1925119449236
300,447.063628623853,27708.3509612804,92.2784247392276,30.3773640626088,4.56573245452316,1.5,21.4551543392491,4,27.5630165005212,0.564433129961166,20.0727575556971,4795088.73353941,5756409.04386484,3332657.8675007,2423751.17636414,0.1,0.1,0.1,0.4,3628949.80154913,24380.2721867799,3772.01629542376,2420.77711531044,1526.44887355856,1093.52602842262,1735.66312411424,194.097206650273,1067.6037910835,270.34105252,107.22917002291,189.466792752189,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,9072.37450387282,538.078774500443,672.598468125553,200.584345402691,2790,39.6939687893043
300,447.063628623853,24937.4540052154,83.0452177130114,28.8175671618913,4.35242084404675,1.5,18.2076825362376,4,23.5051468799359,0.564433129961166,19.838627746942,4315301.10050426,5180433.49400272,2999198.33863315,2181235.15536957,0.1,0.1,0.3,0.4,3117801.03931561,21610.0926045376,2927.94334892896,2420.77711531044,1298.79562364333,984.10745026868,1571.97908273849,184.558390938822,940.571516397635,270.34105252,96.5000193154861,189.288173138105,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,7794.50259828902,537.36140067783,671.701750847287,229.319954637027,2790,36.3835947116702
300,447.063628623853,23138.9561963075,77.047739521969,27.7574745828883,4.20757601158715,1.5,16.2241587831158,4,21.0207853237249,0.564433129961166,19.6498735883958,4003652.51975762,4806305.54592752,2782597.94764225,2023707.59828527,0.1,0.2,0.1,0.4,2674392.17109534,19783.5139938869,2620.8805091635,2420.77711531044,1159.31952161968,913.034323647546,1465.13521039635,178.062569442811,860.551139836518,270.34105252,89.5308430375712,189.173048125533,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6685.98042773834,565.44220242056,706.8027530257,275.407631868493,2790,34.1441403061472
300,447.063628623853,22048.9224135623,73.4168303946054,27.0955402962564,4.11719329715821,1.5,15.0643125168819,4,19.5653439812192,0.564433129961166,19.5192718940632,3814978.60710331,4579806.25102438,2651466.77690885,1928339.47411553,0.1,0.2,0.3,0.4,2401012.01822353,18674.0942150261,2440.28871728407,2420.77711531044,1077.8006870278,870.006337779667,1400.23188682649,174.000988111005,812.973853701669,270.34105252,85.3116620832359,189.103635774219,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6002.53004555883,584.828198536235,731.035248170293,305.576022151014,2790,32.7799727055619
300,447.063628623853,20702.577264051,68.9397652192668,26.2563830752194,4.00268555342958,1.5,13.6777023990949,4,17.8223288620261,0.564433129961166,19.3381379256867,3582335.65895747,4300522.99994895,2489776.47365465,1810746.52629429,0.1,0.3,0.1,0.4,2059065.14551703,17303.5747560067,2223.42471413439,2420.77711531044,980.495905870389,816.951117408741,1319.95759818677,168.845685414362,755.262871402138,270.34105252,80.1092327586492,189.018366159603,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,5147.66286379258,609.002508044284,761.253135055355,342.997831451677,2790,31.0562515726294
300,447.063628623853,19854.0461174678,66.1059823983656,25.7110836796829,3.92832435724956,1.5,12.8247500908844,4,16.748294863143,0.564433129961166,19.2117782451601,3435083.03608056,4123749.14295385,2387433.7143417,1736315.42861215,0.1,0.3,0.3,0.4,1841729.29137956,16438.6269096575,2089.5175107208,2420.77711531044,920.18507728096,783.369591257101,1268.99829551944,165.491803177485,719.114201122344,270.34105252,76.8163267433035,188.964474508078,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4604.3232284489,625.419207810358,781.774009762947,367.749346953075,2790,29.9678460447158
