W_S,AR,lambda,t_c,W_S_max,WTO,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,S,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload
300,9,0.4,0.1,447.063628623853,13928.7052148029,0.564433129961166,18.7771142142055,2410249.81372291,2893457.15933122,2284308.28368254,609148.875648678,0.3,0.3,0.3,0.2,790709.360860378,46.3837205936741,10548.256041746,1808.44893824397,2420.77711531044,651.200565581021,549.653833772037,1029.51255110907,132.847097637232,512.308476430273,270.34105252,53.8987079145481,188.539470178728,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,1976.77340215095,590.449173056975,738.061466321219,397.18410282562,2790
300,9,0.4,0.1,447.063628623853,14080.0588650797,0.564433129961166,18.8317689971765,2436165.86428444,2924568.86468721,2308870.156332,615698.708355201,0.3,0.4,0.3,0.2,434996.583127807,46.8824584594727,10600.8496714626,1831.13067660269,2420.77711531044,658.202556282238,555.564023306213,1039.95439454374,133.527981183248,517.597564216901,270.34105252,54.4782501808982,188.547824267549,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,1087.49145781952,689.209193617174,861.511492021467,491.010099620496,2790
300,9,0.4,0.1,447.063628623853,13540.2692980749,0.564433129961166,18.6274117128422,2341193.61780043,2810556.56398612,1923012.38588524,887544.178100879,0.1,0.2,0.3,0.3,1443622.08713675,45.0547781418614,10345.8245552388,1743.56422673449,2420.77711531044,632.542983455902,533.905484767057,943.861955934771,131.013923100188,498.215114419835,270.34105252,52.3544531603216,188.520012787132,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3609.05521784187,404.44474283609,505.555928545113,221.623171197889,2790
300,9,0.4,0.1,447.063628623853,13674.0345651201,0.564433129961166,18.6831760217352,2366593.06783924,2841048.10064734,1943875.01623239,897173.08441495,0.1,0.3,0.3,0.3,1151513.65287588,45.543574360048,10397.4744491881,1766.49978044615,2420.77711531044,639.405399184157,539.697858782143,953.484138081242,131.691420435094,503.39877157733,270.34105252,52.9224430554093,188.52823674749,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2878.7841321897,486.560115932025,608.200144915031,299.425598072117,2790
300,9,0.4,0.1,447.063628623853,13800.248504368,0.564433129961166,18.7300506439675,2388239.25561901,2867033.92031093,1961654.78758116,905379.132729768,0.1,0.4,0.3,0.3,852575.594154147,45.9601414396007,10440.7315342501,1785.29316291996,2420.77711531044,645.253759650612,544.634298171988,961.679910238621,132.265814570379,507.81644267043,270.34105252,53.4065014073538,188.535243741657,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2131.43898538537,569.516970117961,711.896212647451,378.25199763427,2790
300,9,0.4,0.1,447.063628623853,13874.5776297905,0.564433129961166,18.7573652953475,2400979.55693653,2882328.39968371,1972119.43136254,910208.968321173,0.1,0.5,0.1,0.3,674847.939951998,46.2053204136751,10466.2067697185,1796.372997478,2420.77711531044,648.695930406693,547.539739855867,966.501761983801,132.602615983419,510.416552279589,270.34105252,53.6914037338873,188.53936711819,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,1687.11984988,618.370860071971,772.963575089963,424.67126805195,2790
300,9,0.4,0.1,447.063628623853,13928.7968970532,0.564433129961166,18.7771558247219,2410269.39837417,2893480.67031713,1979749.93232225,913730.737994884,0.1,0.5,0.3,0.3,548135.377423862,46.3840974877981,10484.7896885739,1804.46071184011,2420.77711531044,651.205856956175,549.658300077016,970.016812540364,132.847613617188,512.312473371843,270.34105252,53.8991458722204,188.542373419906,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,1370.33844355965,654.007208479334,817.509010599167,458.5307067218,2790
300,9,0.4,0.1,447.063628623853,13613.205652745,0.564433129961166,18.6603601517379,2356155.12151197,2828517.5528355,1935301.48351902,893216.069316473,0.3,0.2,0.3,0.3,1293258.7001469,45.3427027394968,10376.6250231368,1757.45165196224,2420.77711531044,636.585278002892,537.317472845052,949.530587217335,131.413463431647,501.268539028742,270.34105252,52.6890266613418,188.522603108495,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3233.14675036724,446.580629608136,558.22578701017,261.435039155871,2790
300,9,0.4,0.1,447.063628623853,13738.3003545898,0.564433129961166,18.7071218103242,2377616.8670349,2854281.95322317,1952929.75746848,901352.195754684,0.3,0.3,0.3,0.3,996938.318258512,45.7557203454397,10419.497517386,1776.06558198452,2420.77711531044,642.383805916187,542.21184942964,957.658535493902,131.984284449023,505.648568148361,270.34105252,53.168960461851,188.529530623425,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2492.34579564628,528.802837203843,661.003546504804,339.565661579187,2790
300,9,0.4,0.1,447.063628623853,13865.7009175524,0.564433129961166,18.7541144731247,2399458.34862734,2880502.2192405,1970869.93948034,909632.279760158,0.3,0.4,0.3,0.3,695185.920471823,46.1760457298739,10463.1619469675,1795.04917561576,2420.77711531044,648.284930805874,547.192826374491,965.926101688088,132.562450587802,510.106095859157,270.34105252,53.6573860308809,188.536579126413,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,1737.96480117956,612.538970584857,765.673713231071,419.13012850487,2790
