W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,CO2
350,398.7697181,21700.8667,61.94177717,24.88810502,3.894453688,12.38835543,18.58253315,0.65875266,0.033661933,0.01954417,0.014117763,19.56966244,4897260.355,5879064.051,4022517.509,1856546.542,0.3,0.1,0.3,0.3,2220834.056,18227.59363,2592.108318,2040.943527,966.2518518,856.3614411,1891.305219,160.4240932,705.9998563,5552.08514,683.2730693,854.0913367,387.3684361,2790,32.20065306,1750.246298,1110.417028,594.0038319,1224.084258
300,398.7697181,20930.14117,69.71362926,26.40333866,4.099916493,13.94272585,20.91408878,0.564645137,0.028506456,0.018134222,0.010372234,19.80762311,3622548.165,4348797.317,2517724.763,1831072.555,0.1,0.3,0.3,0.4,2035351.713,17479.97886,2670.347124,2040.943527,1087.487742,826.1217426,1333.85328,169.7490139,792.0207993,5088.379283,660.1623075,825.2028844,387.8187829,2790,31.16183909,1743.324042,1017.675857,576.0785908,1225.507354
350,398.7697181,21050.81894,60.09923654,24.51514563,3.843957286,12.01984731,18.02977096,0.65875266,0.033855792,0.01973803,0.014117763,19.45760575,4751584.826,5704183.464,3302422.006,2401761.459,0.3,0.2,0.1,0.4,2106816.758,17579.69683,2478.788797,2040.943527,937.5094041,830.8873574,1720.858865,158.1250819,685.6061226,5267.041894,681.1221055,851.4026319,392.3758946,2790,31.38085245,1745.811199,1053.408379,584.3707892,1239.907827
350,398.7697181,21480.28282,61.31686421,24.76224227,3.877409029,12.26337284,18.39505926,0.65875266,0.033726475,0.019608713,0.014117763,19.53221177,4847853.289,5819751.847,3981935.474,1837816.373,0.1,0.2,0.1,0.3,2164302.739,18002.51892,2553.19107,2040.943527,956.5036119,847.7216908,1873.290767,159.6484155,699.0831521,5410.756847,687.7638993,859.7048741,394.1120636,2790,31.90725082,1750.271383,1082.151369,590.1855495,1245.394121
300,398.7697181,20828.57598,69.37750712,26.33961031,4.091265823,13.87550142,20.81325213,0.564645137,0.028533988,0.018161754,0.010372234,19.78851122,3605082.159,4327829.723,2961146.653,1366683.07,0.3,0.2,0.3,0.3,1970293.771,17366.83843,2650.623755,2040.943527,1082.244453,822.1385487,1416.819479,169.3573062,788.3005093,4925.734427,671.737552,839.67194,400.0138985,2790,31.02384763,1746.077651,985.1468853,573.1780517,1264.043919
300,398.7697181,19920.82552,66.34237209,25.75701304,4.01221852,13.26847442,19.90271163,0.564645137,0.028794194,0.01842196,0.010372234,19.6096873,3447366.617,4138495.339,2395970.986,1742524.353,0.3,0.3,0.3,0.4,1779288.248,16451.5457,2480.480141,2040.943527,1034.8983,786.1709072,1273.253851,165.7744131,754.7068209,4448.220619,679.2798214,849.0997767,416.5994551,2790,29.87638368,1742.695107,889.6441238,558.7402737,1316.454278
350,398.7697181,19998.99545,57.08878572,23.89325966,3.759832709,11.41775714,17.12663571,0.65875266,0.034197357,0.020079594,0.014117763,19.26326235,4513571.611,5418453.315,3136999.287,2281454.027,0.3,0.2,0.3,0.4,1835217.73,16507.38249,2295.898139,2040.943527,890.548309,789.2663694,1639.733558,154.2881914,652.2856456,4588.044325,701.6129561,877.0161951,423.7693912,2790,30.04758374,1745.59004,917.6088649,566.1056482,1339.111276
350,398.7697181,19841.75931,56.64323936,23.7998402,3.747204068,11.32864787,16.99297181,0.65875266,0.034250762,0.020133,0.014117763,19.23322616,4478345.684,5376165.287,3112516.745,2263648.542,0.1,0.3,0.1,0.4,1794103.187,16346.72936,2269.198685,2040.943527,883.5980726,783.1064748,1627.707813,153.7114383,647.354219,4485.257969,705.0299535,881.2874419,428.7880881,2790,29.83325318,1745.645641,897.0515937,563.3310035,1354.970358
350,398.7697181,20198.75359,57.65455589,24.01136312,3.775801448,11.53091118,17.29636677,0.65875266,0.034130645,0.020012883,0.014117763,19.3009144,4558302.712,5472152.115,3744104.079,1728048.036,0.1,0.2,0.3,0.3,1836881.658,16696.88788,2329.135425,2040.943527,899.3739596,797.0884191,1767.530304,155.0171966,658.5477416,4592.204144,711.8657179,889.8321474,431.5001948,2790,30.28944463,1749.781818,918.4408288,568.0755454,1363.540616
300,398.7697181,19740.86082,65.7475098,25.64127723,3.996523399,13.14950196,19.72425294,0.564645137,0.028847783,0.018475549,0.010372234,19.5732595,3416455.627,4101387.308,2806212.369,1295174.939,0.1,0.3,0.3,0.3,1695314.892,16257.24128,2446.800332,2040.943527,1025.618831,779.1215428,1346.887234,165.0622316,748.1227256,4238.28723,693.6195329,867.0244161,432.2560914,2790,29.63476861,1745.754778,847.6574461,554.496428,1365.929249
