W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
350,447.0636286,22026.53276,62.86394214,23.78603538,4.073510362,11.21711711,16.41960662,0.65875266,18.8301084,4970168.852,5966589.259,4082403.177,1884186.082,0.1,0.2,0.1,0.3,2345619.139,18515.0521,2285.865008,2420.777115,860.0762493,869.1108629,1917.872221,153.6262016,680.398375,270.3410525,73.04901832,189.1599161,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5864.047849,721.4806579,901.8508223,404.0558544,2790,32.78706657
300,447.0636286,21472.53248,71.51114226,25.36927828,4.313037652,13.75620485,19.9898024,0.564645137,19.09927528,3715952.82,4460927.755,3052213.727,1408714.028,0.3,0.2,0.3,0.3,2150249.33,17975.76417,2394.081478,2420.777115,1050.712803,847.4230676,1457.834635,163.3879254,792.6651919,270.3410525,83.0972186,189.0921291,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5375.623325,706.768304,883.46038,412.3159218,2790,32.02108031
300,447.0636286,20447.64016,68.09614381,24.7561163,4.22022038,12.75719001,18.58841541,0.564645137,18.96461882,3538498.332,4247897.157,2459308.88,1788588.276,0.3,0.3,0.3,0.4,1933645.562,16947.08368,2227.293767,2420.777115,975.8546348,806.9538413,1304.799413,159.6106575,748.4556113,270.3410525,79.12892968,189.0265171,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4834.113904,710.5564811,888.1956014,427.6123315,2790,30.71725511
350,447.0636286,20416.52901,58.275335,22.901485,3.939898122,9.986298635,14.68454946,0.65875266,18.61817428,4607382.945,5531071.963,3202199.558,2328872.406,0.3,0.2,0.3,0.4,1982730.982,16895.65124,2043.277419,2420.777115,767.8794003,805.6709973,1671.735252,148.1600264,623.4867436,270.3410525,67.71697526,189.0505659,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4956.827455,730.8777728,913.5972159,432.5771327,2790,30.75359425
350,447.0636286,20248.85975,57.80070035,22.80803155,3.92579181,9.86240642,14.50965494,0.65875266,18.594102,4569857.231,5486023.086,3176118.629,2309904.457,0.1,0.3,0.1,0.4,1938495.549,16724.91496,2018.592247,2420.777115,758.69428,799.1089382,1658.938406,147.5819841,617.7043407,270.3410525,67.16544135,189.0440534,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4846.238872,733.9447848,917.430981,437.5500426,2790,30.52319837
350,447.0636286,20635.09443,58.89480141,23.02288454,3.958225691,10.15239613,14.91915073,0.65875266,18.64840234,4656359.395,5589867.22,3824645.993,1765221.228,0.1,0.2,0.3,0.3,1988349.793,17103.03192,2074.910814,2420.777115,780.2258117,814.2354302,1803.382666,148.9107703,631.1400926,270.3410525,68.43680624,189.0686434,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4970.874483,742.0625106,927.5781382,440.7824827,2790,31.02100754
350,447.0636286,20305.83409,57.9626121,22.83995422,3.930610148,9.90798356,14.57420079,0.65875266,18.60175518,4582658.349,5501390.575,3764109.341,1737281.234,0.3,0.2,0.1,0.3,1903626.577,16771.17669,2026.4411,2420.777115,762.1025505,801.3474482,1776.438994,147.7794487,619.7585536,270.3410525,67.35358569,189.0421618,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4759.066442,744.6574008,930.8217511,447.2310829,2790,30.58355181
300,447.0636286,19508.75783,64.96519143,24.18029617,4.133115152,11.86831136,17.33961897,0.564645137,18.82819158,3375803.807,4052585.602,2346233.77,1706351.833,0.1,0.4,0.3,0.4,1695211.042,15993.55142,2077.277607,2420.777115,909.1000825,769.8507496,1248.449359,156.0596785,708.4807665,270.3410525,75.49070736,188.9684607,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4238.027604,725.2064149,906.5080187,452.4076387,2790,29.4986661
350,447.0636286,19255.61313,54.95998312,22.24050018,3.840169833,9.131610162,13.47683694,0.65875266,18.44408859,4345263.548,5216402.819,3020022.685,2196380.134,0.1,0.3,0.3,0.4,1678032.61,15715.51642,1873.00304,2420.777115,703.5606826,759.8346557,1582.228669,144.0693487,583.0487579,270.3410525,63.86447744,188.9788631,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4195.081524,750.0967085,937.6208856,465.1904526,2790,29.23956783
350,447.0636286,19015.97675,54.28149658,22.10279324,3.819406185,8.960168077,13.23425723,0.65875266,18.40556885,4291620.83,5152005.799,2982740.199,2169265.6,0.3,0.3,0.1,0.4,1615109.066,15473.77711,1838.836585,2420.777115,690.8362668,750.454263,1563.875786,143.216445,574.9033394,270.3410525,63.07606401,188.9592912,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4037.772665,752.199647,940.2495588,470.0860695,2790,28.9151596
300,447.0636286,19079.37158,63.51559889,23.90900228,4.092097402,11.4666362,16.77471971,0.564645137,18.76152182,3300478.237,3962158.748,2710950.723,1251208.026,0.3,0.3,0.3,0.3,1550915.308,15549.64083,2008.588573,2420.777115,878.3176489,752.672494,1303.789312,154.3853734,690.0097647,270.3410525,73.80625505,188.936733,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3877.288271,739.7307528,924.663441,471.3665569,2790,28.92789741
300,447.0636286,18597.34463,61.92402232,23.60754542,4.046536102,11.02711566,16.15582887,0.564645137,18.68278547,3217774.714,3862874.807,2236401.204,1626473.603,0.3,0.4,0.3,0.4,1462165.437,15068.81476,1934.883241,2420.777115,845.7954194,733.8116858,1193.568522,152.5239347,670.1083462,270.3410525,71.95681479,188.906806,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3655.413592,738.5298676,923.1623345,475.598671,2790,28.30435144
350,447.0636286,19138.96463,54.62971023,22.17357418,3.83007804,9.051016561,13.36300124,0.65875266,18.42492818,4319151.408,5185055.712,3547669.698,1637386.014,0.3,0.2,0.3,0.3,1600046.443,15585.78129,1855.786404,2420.777115,697.587377,755.2684785,1679.925655,143.654864,579.1492828,270.3410525,63.48069447,188.9660284,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4000.116107,763.1833383,953.9791729,479.2458303,2790,29.07583411
350,447.0636286,18967.60221,54.14467795,22.07492019,3.81520403,8.928736668,13.1899567,0.65875266,18.39715775,4280803.633,5139019.967,3516171.557,1622848.411,0.1,0.3,0.1,0.3,1554735.302,15411.20951,1831.335364,2420.777115,688.5163936,748.5626821,1665.855905,143.0437816,573.333871,270.3410525,62.91707833,188.9597777,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3886.838255,766.3926998,957.9908747,484.3965841,2790,28.83565952
