W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,Wbatt/MTOW,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
280,398.7697181,32649.40596,116.5443312,35.80485502,4.722477624,23.30886623,34.96329935,0.527002128,0.023947221,0.015680587,0.008266634,22.00681781,5026806.663,6034581.828,3017290.914,3176095.699,0.1,0.15,0.1,0.5,4494890.486,28118.02066,5132.197179,2185.311504,1818.016546,1289.017396,1748.223016,227.1275823,1310.355566,10429.19824,0.319429954,811.3852956,1014.23162,238.1292908,3720,36.02600716,1720.473997,2247.445243,710.0138665,0.272952332,0.723287754,752.488559
290,398.7697181,32088.24384,110.5703304,34.87511482,4.61068265,22.11406607,33.17109911,0.545823633,0.024863329,0.015995677,0.008867652,21.95295867,5242405.52,6293403.986,3146701.993,3312317.887,0.2,0.12,0.1,0.5,4412117.833,27558.33093,4888.743257,2185.311504,1724.825979,1266.618949,1818.367045,221.4860412,1244.233723,10237.14631,0.319031056,809.912909,1012.391136,238.446372,3720,35.55073392,1716.961525,2206.058917,703.513369,0.27182784,0.722325941,753.4905354
320,398.7697181,31201.07841,97.43123105,32.73749443,4.353861158,19.48624621,29.22936931,0.602288146,0.027693392,0.016896156,0.010797236,21.74844223,6031913.867,7241193.117,3620596.559,3811154.272,0.1,0.1,0.2,0.5,4318675.97,26661.80762,4367.225037,2185.311504,1519.864488,1231.56462,2073.914355,208.4898137,1098.806649,10020.33931,0.321153621,819.2707854,1024.088482,239.7057226,3720,34.88952545,1711.598622,2159.337985,695.4769515,0.270323049,0.718531031,757.4700836
290,398.7697181,32011.03529,110.3055902,34.8333388,4.605660596,22.06111803,33.09167705,0.545823633,0.024872931,0.016005279,0.008867652,21.94448385,5229853.55,6278335.594,3139167.797,3304387.155,0.3,0.1,0.1,0.5,4390316.462,27480.19351,4875.928947,2185.311504,1720.696202,1263.586179,1814.287806,221.2323957,1241.303507,10186.56203,0.318220324,810.8417838,1013.55223,240.5330506,3720,35.47416179,1717.03938,2195.158231,702.3518886,0.271706145,0.7160596,760.0844398
300,398.7697181,31634.787,105.382214,34.04709025,4.511163566,21.07644281,31.61466421,0.564645137,0.025797124,0.016307366,0.009489758,21.88791002,5476004.48,6573834.91,3286917.455,3459913.111,0.1,0.1,0.3,0.5,4345100.292,27101.72636,4679.05656,2185.311504,1643.894704,1248.814052,1894.186183,216.4561277,1186.81026,10081.64993,0.318688725,813.0606454,1016.325807,241.4190581,3720,35.17513219,1714.863688,2172.550146,698.5043113,0.271029711,0.713431663,762.8842236
280,398.7697181,32930.31099,117.5431114,35.9579508,4.740891216,23.50862228,35.26293342,0.527002128,0.023914618,0.015647985,0.008266634,22.03681953,5069886.194,6086297.952,3651778.771,2562651.769,0.1,0.1,0.2,0.4,4519659.929,28390.80411,5180.20668,2185.311504,1833.596875,1300.064543,1875.73973,228.0559249,1321.410333,10486.66915,0.318450353,819.5068899,1024.383612,241.7701766,3720,36.53047878,1723.273829,2259.829965,713.3248586,0.273638599,0.712395559,763.993758
320,398.7697181,31126.18672,97.19858141,32.69838521,4.349165487,19.43971628,29.15957442,0.602288146,0.027704043,0.016906807,0.010797236,21.74008106,6017510.656,7223902.348,3611951.174,3802053.868,0.1,0.12,0.1,0.5,4297078.163,26585.99105,4355.822923,2185.311504,1516.235303,1228.623768,2069.269548,208.2516981,1096.23162,9970.227344,0.320316377,820.1956693,1025.244587,241.808963,3720,34.81431845,1711.693985,2148.539082,694.3355625,0.270205577,0.71228129,764.1163229
280,398.7697181,32529.91253,116.119387,35.73951954,4.714619808,23.22387739,34.83581609,0.527002128,0.023961243,0.015694609,0.008266634,21.99393961,5008477.909,6012578.522,3006289.261,3164515.012,0.1,0.1,0.4,0.5,4460934.672,27995.80551,5111.667323,2185.311504,1811.38769,1284.317243,1742.25217,226.7313477,1305.65217,10350.41281,0.318181391,814.1070192,1017.633774,242.5798855,3720,35.9069243,1720.932095,2230.467336,708.2083584,0.272801013,0.710017649,766.5524382
300,398.7697181,31566.244,105.1549128,34.01035196,4.506749089,21.03098256,31.54647383,0.564645137,0.025806124,0.016316366,0.009489758,21.88027675,5464193.163,6559655.658,3279827.829,3452450.346,0.1,0.12,0.2,0.5,4325580.278,27032.31857,4668.015461,2185.311504,1640.348951,1246.120382,1890.35696,216.2328337,1184.294429,10036.35892,0.317945934,813.9254322,1017.40679,243.3279274,3720,35.10677691,1714.947426,2162.790139,697.467282,0.270922653,0.707834903,768.9162506
320,398.7697181,31039.25097,96.92849378,32.65292378,4.343707282,19.38569876,29.07854813,0.602288146,0.027716466,0.01691923,0.010797236,21.73033737,6000789.679,7203829.147,3601914.573,3791489.024,0.2,0.1,0.1,0.5,4272034.566,26498.04769,4342.593413,2185.311504,1512.02211,1225.209673,2063.876537,207.9748915,1093.242218,9912.120334,0.31934148,821.2032769,1026.504096,244.1863956,3720,34.72703369,1711.786863,2136.017283,693.0108853,0.270067242,0.70534642,771.6290102
280,398.7697181,32465.79244,115.8913464,35.70440884,4.71039719,23.17826928,34.76740392,0.527002128,0.023968805,0.015702171,0.008266634,21.98700043,4998642.031,6000770.746,3000385.373,3158300.393,0.1,0.12,0.3,0.5,4442991.883,27930.88611,5100.669113,2185.311504,1807.830404,1281.79497,1739.047491,226.5184017,1303.128155,10308.78133,0.317527482,814.9063289,1018.632911,244.3260855,3720,35.84360947,1721.001207,2221.495942,707.248185,0.272700944,0.704943149,772.0704303
300,398.7697181,31486.70728,104.8911362,33.96766842,4.501620346,20.97822724,31.46734086,0.564645137,0.025816612,0.016326853,0.009489758,21.87138825,5450486.469,6543201.044,3271600.522,3443790.023,0.2,0.1,0.2,0.5,4302953.221,26951.83582,4655.20903,2185.311504,1636.234206,1242.994455,1885.912682,215.9733914,1181.374879,9983.858853,0.317081706,814.8714673,1018.589334,245.4872606,3720,35.02747504,1715.029106,2151.47661,696.2641904,0.270796715,0.701608709,775.7397434
310,398.7697181,31623.56203,101.9475315,33.48765214,4.443951478,20.38950629,30.58425944,0.583466642,0.026702377,0.016569424,0.010132953,21.85073824,5789895.582,6950654.961,4170392.976,2926591.562,0.1,0.1,0.1,0.4,4333531.264,27078.57913,4550.893709,2185.311504,1590.315867,1248.382314,2125.46154,213.0547278,1148.794273,10054.80707,0.317953021,824.9828985,1031.228623,245.9022591,3720,35.49722506,1716.024284,2166.765632,699.1155899,0.271228699,0.700424635,777.0511387
280,398.7697181,32375.5148,115.5381725,35.6499635,4.703849416,23.1076345,34.66145175,0.527002128,0.023980569,0.015713935,0.008266634,21.97621423,4983408.884,5982483.654,2991241.827,3148675.608,0.2,0.1,0.3,0.5,4419490.314,27840.31445,5083.662412,2185.311504,1802.321119,1277.888643,1734.083599,226.188173,1299.219132,10254.25219,0.316728622,815.2003547,1019.000443,246.1138737,3720,35.75487746,1720.913863,2209.745157,705.8989584,0.272539612,0.699822393,777.7198407
290,398.7697181,31846.23906,109.7404536,34.74399214,4.594920266,21.94809073,32.92213609,0.545823633,0.024893566,0.016025914,0.008867652,21.92629318,5203059.068,6246169.349,3123084.674,3287457.552,0.1,0.15,0.1,0.5,4343128.714,27311.88018,4848.56249,2185.311504,1711.880437,1257.112176,1805.578095,220.6898775,1235.048425,10077.0754,0.316429057,814.3588851,1017.948606,246.4786989,3720,35.30915277,1717.615211,2171.564357,699.8496289,0.271489801,0.698786551,778.8726885
300,398.7697181,31418.80093,104.6659153,33.93118136,4.497236252,20.93318307,31.3997746,0.564645137,0.025825604,0.016335845,0.009489758,21.86377305,5438783.257,6529151.569,3264575.784,3436395.562,0.2,0.12,0.1,0.5,4283612.755,26883.07295,4644.278096,2185.311504,1632.720906,1240.32544,1882.117526,215.7516016,1178.882074,9938.984445,0.316338757,815.7279781,1019.659973,247.3784469,3720,34.95969127,1715.111787,2141.806378,695.2358855,0.270690518,0.696244973,781.7158921
