n,Carico Alare,W_S_max,MTOW,S,b,c root,S_vert,S_orizz,C_L cruise,C_D,C_D_0,C_D_i,E cruise,P_curr,P tot inst,P ice inst,P em inst,Phi climb,Phi cruise,Phi descent,H_P,E batt inst,OEW,W wing,W fus,W tail,W LG,W propuls,W fuelsys,W hydr,W battery,Wfuel,V fuel,W block fuel,W payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
23,325,398.7697181,27240.55905,84.10643745,30.41662065,4.075424741,16.82128749,25.23193123,0.611698899,0.028795893,0.017658607,0.011137286,21.24257467,5431415.003,6520306.127,3912183.676,2745392.053,0.1,0.2,0.1,0.4,3107456.786,22610.69214,3736.005172,2185.311504,1312.006285,1079.742417,2001.343128,194.3369946,951.3242598,7210.027241,909.8669116,1137.33364,386.8339833,3720,31.11158264,1726.270484,1553.728393,633.8726123,0.265052367,0.445245266,1222.395387
24,300,398.7697181,27391.97963,91.22579891,31.67781223,4.226672881,18.24515978,27.36773967,0.564645137,0.026433576,0.016943818,0.009489758,21.36090586,4740390.853,5690745.322,3414447.193,2396103.293,0.1,0.2,0.3,0.4,3080346.762,22777.66213,3999.234379,2185.311504,1423.063741,1081.051807,1760.857968,202.033485,1030.123262,7147.12564,894.3175039,1117.89688,387.075255,3720,31.08024782,1727.33248,1540.173381,632.340166,0.264999534,0.444967736,1223.157806
25,300,398.7697181,27127.96457,90.35177274,31.52569587,4.20842277,18.07035455,27.10553182,0.564645137,0.026478723,0.016988965,0.009489758,21.32448495,4694973.595,5636222.803,3381733.682,2373146.443,0.3,0.2,0.1,0.4,3005293.369,22510.66098,3957.868852,2185.311504,1409.429495,1070.694099,1744.990447,201.1059123,1020.449306,6972.984196,897.3035863,1121.629483,394.1027794,3720,30.80723357,1727.528441,1502.646684,628.2447577,0.264561612,0.437033203,1245.364783
26,350,398.7697181,29007.19809,81.66096886,29.97116376,4.022039568,16.33219377,24.49829066,0.65875266,0.031090077,0.018173462,0.012916615,21.18851812,6456305.317,7750666.647,5425466.653,2447578.941,0.1,0.1,0.3,0.3,3302279.53,24326.22034,4522.446358,2185.311504,1273.858549,1128.991349,2499.836225,191.6152416,924.2571577,7662.061618,960.9777518,1201.22219,398.4922247,3720,33.35304018,1741.04266,1651.139765,662.8497564,0.26996557,0.432219224,1259.23543
27,280,398.7697181,27660.02256,98.71875367,32.95309227,4.379749135,19.74375073,29.6156261,0.527002128,0.02462666,0.016360026,0.008266634,21.39965907,4257951.32,5111586.218,3066951.731,2152246.829,0.3,0.2,0.3,0.4,3045249.207,23038.30849,4283.18375,2185.311504,1539.949012,1091.856029,1591.877238,209.8022521,1113.057294,7065.691094,901.7140701,1127.142588,401.8422594,3720,31.19734481,1733.153728,1522.624603,633.1761386,0.265747163,0.428615946,1269.82154
28,280,398.7697181,27817.39816,99.27751893,33.04622079,4.390932654,19.85550379,29.78325568,0.527002128,0.024602065,0.016335431,0.008266634,21.42105267,4282052.062,5140518.682,3598363.078,1623321.689,0.1,0.2,0.3,0.3,3043558.327,23186.96249,4309.20661,2185.311504,1548.66539,1098.036275,1696.123438,210.3690491,1119.241858,7061.767858,910.4356704,1138.044588,407.924688,3720,31.54997568,1735.858766,1521.779164,634.8048815,0.266233862,0.422224997,1289.042014
29,325,398.7697181,27542.66512,83.11710537,30.23719827,4.05391972,16.62342107,24.93513161,0.611698899,0.028855523,0.017718237,0.011137286,21.19867652,5367526.04,6443608.692,4510526.084,2034823.797,0.3,0.1,0.3,0.3,2950956.54,22893.43528,4325.20604,2185.311504,1296.573341,1067.041258,2099.355285,193.2409316,940.3740671,6846.910031,929.2298423,1161.537303,410.9443339,3720,31.61796176,1734.886241,1475.47827,636.7560802,0.266343771,0.41912246,1298.584095
30,350,398.7697181,28623.89536,81.71524082,29.98112154,4.023232725,16.34304816,24.51457225,0.65875266,0.031086646,0.01817003,0.012916615,21.19085682,6460596.185,7755817.749,4653490.649,3265607.473,0.3,0.1,0.3,0.4,3185344.904,23916.46159,4524.871448,2185.311504,1274.705157,1129.741697,2356.649577,191.6761032,924.8578544,7390.745909,987.4337645,1234.292206,423.969528,3720,32.66411014,1745.54827,1592.672452,658.0201775,0.269929187,0.406246177,1339.743709
31,300,398.7697181,26125.54058,87.03901139,30.94235164,4.138455172,17.40780228,26.11170342,0.564645137,0.026657266,0.017167508,0.009489758,21.1816596,4522831.681,5429569.845,3257741.907,2286134.672,0.3,0.2,0.3,0.4,2717197.82,21490.65481,3801.593313,2185.311504,1357.752551,1031.436035,1684.774331,197.5469707,983.7827746,6304.535076,914.885768,1143.60721,426.8402255,3720,29.75954861,1729.914031,1358.59891,612.5396162,0.26306578,0.403513984,1348.815113
32,300,398.7697181,26284.65595,87.5667566,31.03601654,4.149687476,17.51335132,26.27002698,0.564645137,0.026628005,0.017138246,0.009489758,21.20493615,4550255.048,5462491.054,3823743.738,1724997.175,0.1,0.2,0.3,0.3,2713828.4,21640.3829,3826.207264,2185.311504,1365.985036,1037.690105,1796.18231,198.1186111,989.6240002,6296.717232,924.2730521,1155.341315,433.4747322,3720,30.12777042,1732.791297,1356.9142,614.1686129,0.263571849,0.397338039,1369.780154
33,325,398.7697181,27138.75384,82.94470635,30.20582344,4.050159558,16.58894127,24.88341191,0.611698899,0.028866046,0.01772876,0.011137286,21.19094855,5356392.878,6430243.551,3858146.131,2707470.969,0.1,0.2,0.3,0.4,2828789.618,22463.32206,4309.789946,2185.311504,1293.884027,1064.82798,1975.315353,193.0492384,938.4659085,6563.454172,955.4317809,1194.289726,437.3747236,3720,30.94686136,1739.498822,1414.394809,631.3406599,0.266253609,0.393795047,1382.104127
34,300,398.7697181,25601.27286,85.26553972,30.62549488,4.100463734,17.05310794,25.57966192,0.564645137,0.026758002,0.017268244,0.009489758,21.10191722,4430676.293,5318939.127,3191363.476,2239553.317,0.1,0.3,0.1,0.4,2568779.428,20958.44369,3718.366866,2185.311504,1330.087534,1010.419438,1652.488081,195.612616,964.1535146,5960.169659,922.8291656,1153.536457,442.9446235,3720,29.20892361,1730.866614,1284.389714,604.2875101,0.262246018,0.388843189,1399.70501
35,350,398.7697181,27686.14769,79.05357084,29.48879922,3.964254281,15.81071417,23.71607125,0.65875266,0.031259951,0.018343336,0.012916615,21.0733748,6250158.391,7503191.346,4501914.808,3159238.461,0.1,0.2,0.1,0.4,2953312.677,22973.22109,4306.331603,2185.311504,1233.184818,1092.942284,2284.249308,188.6659729,895.3977772,6852.376821,992.9266006,1241.158251,445.1461848,3720,31.69223663,1745.233337,1476.656338,643.4468164,0.268257179,0.386920086,1406.661944
36,280,398.7697181,26239.39838,93.64460905,32.09502609,4.276738043,18.72892181,28.09338271,0.527002128,0.024862057,0.016595423,0.008266634,21.19704465,4039092.592,4848850.651,2909310.391,2041621.327,0.1,0.3,0.3,0.4,2645734.697,21594.62616,4046.095943,2185.311504,1460.795622,1035.733324,1514.886675,204.576562,1056.895301,6138.7239,924.7722237,1155.96528,445.9374966,3720,29.72462481,1735.919074,1322.867348,611.0930258,0.26357771,0.3862335,1409.162489
37,280,398.7697181,26452.94772,94.40270867,32.22467681,4.292298908,18.88054173,28.3208126,0.527002128,0.02482544,0.016558806,0.008266634,21.2283098,4071791.053,4888104.505,3421673.154,1543611.949,0.3,0.2,0.3,0.3,2662879.486,21802.38228,4081.215896,2185.311504,1472.621488,1044.118295,1617.461486,205.3665353,1065.286151,6178.503824,930.5654437,1163.206805,448.319045,3720,30.12998249,1737.985843,1331.439743,613.6736721,0.264099631,0.384181761,1416.688182
38,325,398.7697181,27053.40527,83.17027429,30.24686789,4.055078611,16.63405486,24.95108229,0.611698899,0.028852286,0.017715,0.011137286,21.20105514,5370959.576,6447730.583,3868638.35,2714833.93,0.3,0.2,0.1,0.4,2772246.896,22362.90833,4326.088769,2185.311504,1297.402742,1067.723847,1980.370512,193.3000091,940.962555,6432.261821,970.4969401,1213.121175,450.8460067,3720,30.85290331,1742.641411,1386.123448,629.9777241,0.26645347,0.382028447,1424.673381
