n,W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
51,300,398.7697181,19884.85913,66.21048862,26.98731878,3.665026079,13.24209772,19.86314659,0.564645137,0.028146202,0.018656444,0.009489758,20.06114838,3440513.521,4130268.333,2825973.07,1304295.263,0.3,0.2,0.3,0.3,1077239.347,15553.69822,2876.069305,2185.311504,1032.841003,784.6080334,1355.817581,173.3365361,753.2470994,2499.447483,611.1609119,763.9511399,230.2729461,3720,23.61721099,1899.956212,538.6196737,627.2984316,0.306546628,0.403868546,727.6625096
52,280,398.7697181,19872.89428,70.89542733,27.92578917,3.777193031,14.17908547,21.2686282,0.527002128,0.026286032,0.018019398,0.008266634,20.04875202,3057871.652,3670914.348,2125266.201,1545648.147,0.1,0.5,0.3,0.4,1065189.01,15548.84022,2981.457411,2185.311504,1105.923031,784.1171523,1137.880782,179.0946522,805.1012573,2471.487879,604.0540629,755.0675786,232.213556,3720,23.3386626,1900.751234,532.5945051,624.7823634,0.306337871,0.400493415,733.7948371
53,350,398.7697181,19810.08236,56.5440293,24.93961352,3.420751413,11.30880586,16.96320879,0.65875266,0.033310346,0.020393731,0.012916615,19.77621761,4470501.908,5366748.989,3671986.15,1694762.839,0.1,0.2,0.3,0.3,1096417.786,15451.1109,2633.871454,2185.311504,882.0504597,781.7348479,1735.395055,160.7414843,646.2561355,2543.945949,638.9714586,798.7143232,234.3648832,3720,23.84965723,1901.135423,548.2088928,633.0834733,0.307391366,0.396817129,740.593031
54,350,398.7697181,19758.22446,56.39730397,24.90723477,3.416894766,11.27946079,16.91919119,0.65875266,0.033328625,0.02041201,0.012916615,19.76537162,4458901.463,5352822.885,3662457.763,1690365.122,0.1,0.3,0.1,0.3,1082607.966,15398.29608,2623.661121,2185.311504,879.7616389,779.7062994,1731.146917,160.5419725,644.6321402,2511.903934,639.9283812,799.9104765,236.1790826,3720,23.79081359,1901.470393,541.3039829,632.0294427,0.307304147,0.393768995,746.3259009
55,280,398.7697181,19766.75016,70.52037651,27.85182474,3.768348393,14.1040753,21.15611295,0.527002128,0.026316496,0.018049862,0.008266634,20.02554347,3041694.906,3651494.485,2114023.123,1537471.362,0.3,0.4,0.3,0.4,1037402.586,15440.15827,2957.936168,2185.311504,1100.072479,779.9689453,1132.237952,178.6411459,800.9500942,2407.016869,606.5918958,758.2398698,236.298317,3720,23.22081633,1901.612193,518.7012929,622.6525087,0.306183959,0.393570302,746.7026818
56,350,398.7697181,19388.43254,55.35028543,24.67494964,3.389233123,11.07005709,16.60508563,0.65875266,0.033461673,0.020545057,0.012916615,19.68678213,4376121.752,5253447.481,3041469.594,2211977.887,0.1,0.3,0.3,0.4,1034281.762,15030.83903,2551.764526,2185.311504,863.4288236,765.2307688,1592.780684,159.1103393,633.0434582,2399.775827,637.5935047,796.9918809,240.188382,3720,23.1741755,1899.6452,517.1408809,625.6248831,0.306305908,0.38719608,758.9952871
57,280,398.7697181,19661.79337,70.1493798,27.77846608,3.759576901,14.02987596,21.04481394,0.527002128,0.026346926,0.018080292,0.008266634,20.00241458,3025693.024,3632284.542,2102901.577,1529382.965,0.5,0.3,0.3,0.4,1009908.735,15332.68978,2934.728837,2185.311504,1094.28517,775.8655792,1126.654426,178.1913015,796.8438031,2343.224698,609.1035877,761.3794846,240.340453,3720,23.10414542,1902.464366,504.9543674,620.5444494,0.306031625,0.386951089,759.4758315
58,350,398.7697181,19628.52184,56.03021575,24.82604224,3.407224775,11.20604315,16.80906473,0.65875266,0.033374746,0.02045813,0.012916615,19.7380579,4429878.618,5317981.535,3638618.945,1679362.59,0.3,0.1,0.3,0.3,1047779.498,15265.52076,2598.129243,2185.311504,874.035299,774.6311287,1720.51618,160.0416291,640.5691094,2431.093735,643.0010805,803.7513506,241.3802318,3720,23.64277811,1902.620466,523.8897491,629.3784757,0.307122094,0.385284244,762.7615324
59,350,398.7697181,19346.45687,55.23135894,24.64842689,3.386075337,11.04627179,16.56940768,0.65875266,0.033477082,0.020560466,0.012916615,19.67772064,4366719.149,5242159.843,3034934.646,2207225.197,0.1,0.4,0.1,0.4,1022970.617,14988.06693,2543.571539,2185.311504,861.573647,763.586554,1589.565875,158.9468351,631.727148,2373.531323,638.3899414,797.9874267,241.6796153,3720,23.12671613,1899.926101,511.4853085,624.7663985,0.306235849,0.384806968,763.7075842
60,350,398.7697181,19577.65405,55.88620486,24.79411732,3.40342288,11.17724097,16.76586146,0.65875266,0.033392993,0.020476377,0.012916615,19.72727231,4418492.784,5304313.066,3629266.834,1675046.231,0.3,0.2,0.1,0.3,1034220.803,15213.71465,2588.152382,2185.311504,871.7888218,772.6401093,1716.344724,159.8448742,638.9751582,2399.634389,643.9394014,804.9242517,243.1602246,3720,23.58493913,1902.948741,517.1104017,628.3428506,0.307036295,0.382463868,768.3863098
